nseqs_before_fastp_1	nseqs_after_fastp_1	nseqs_before_fastp_2	nseqs_after_fastp_2	sample
12782098	    7326944	    13710428	    7805056	    ERR696683
13599176	    11157220	    14455979	    11949382	    ERR753368
14418846	    11807880	    15425862	    12735619	    ERR753369
19137007	    19062314	    19599533	    19503957	    ERR753370
14433503	    7201499	    12561966	    5931469	    ERR753371
14631641	    11966864	    15577190	    12843549	    ERR753372
13156883	    12736478	    13659821	    13173367	    ERR753373
8358030	    8054428	    8337180	    8001535	    ERR753374
7548397	    4585721	    7793064	    4706718	    ERR753375
10409144	    5947899	    11104110	    6292675	    ERR753376
10743472	    6282748	    11570467	    6734655	    ERR753377
12435276	    10207964	    13382961	    11073258	    ERR753378
